"B" "Temp" "a" "erg" "s" "s-erg*temp"
"0.137" "0.8" "0.01" "2.7393063839348" "2.22103168348837" "0.0295865763405314"
"0.138" "0.8" "0.0075" "3.12633047019621" "2.22027940132138" "-0.280784974835585"
"0.138" "0.8" "0.01" "2.74787217049504" "2.2203454189721" "0.0220476825760691"
"0.138" "0.9" "0.01" "2.85942842513428" "1.98711200036618" "-0.586373582254666"
"0.138" "0.9" "0.01" "2.85942842513427" "1.98711200036618" "-0.586373582254659"
"0.139" "0.8" "0.0075" "3.13764640063962" "2.21959481760068" "-0.29052230291101"
"0.139" "0.8" "0.01" "2.75643820091744" "2.21965967612834" "0.0145091153943895"
"0.14" "0.8" "0.0075" "3.14896258969593" "2.21891075377219" "-0.300259317984554"
"0.14" "0.8" "0.01" "2.76500447883206" "2.21897445002838" "0.00697086696272775"
"0.14" "0.9" "0.01" "2.87670265228194" "1.98562290643102" "-0.603409480622729"
"0.14" "0.9" "0.01" "2.87670265228193" "1.98562290643103" "-0.603409480622713"
"0.141" "0.8" "0.0075" "3.16027904003003" "2.21822720487401" "-0.30999602715001"
"0.141" "0.8" "0.01" "2.77357100783707" "2.21828973581306" "-0.000567070456595431"
"0.142" "0.8" "0.0075" "3.17159575429761" "2.21754416601382" "-0.319732437424272"
"0.142" "0.8" "0.01" "2.78213779150148" "2.21760552869165" "-0.00810470450953904"
"0.142" "0.9" "0.01" "2.89398019375983" "1.9841358848946" "-0.620446289489252"
"0.142" "0.9" "0.01" "2.89398019375982" "1.98413588489459" "-0.620446289489241"
"0.143" "0.8" "0.0075" "3.18291273514754" "2.21686163236697" "-0.329468555751066"
"0.143" "0.8" "0.01" "2.79070483336745" "2.21692182393968" "-0.0156420427542847"
"0.144" "0.8" "0.0075" "3.19422998522486" "2.21617959917545" "-0.339204389004435"
"0.144" "0.8" "0.01" "2.79927213695274" "2.21623861689959" "-0.023179092662601"
"0.144" "0.9" "0.01" "2.91126134831874" "1.98265089572872" "-0.637484317758142"
"0.144" "0.9" "0.01" "2.91126134831875" "1.98265089572872" "-0.637484317758157"
"0.145" "0.8" "0.0075" "3.20554750717238" "2.21549806175008" "-0.348939943987823"
"0.145" "0.8" "0.01" "2.80783970575304" "2.21555590297462" "-0.0307158616278129"
